说话人,时间,内容
说话人 3,00:33:41,都没有科学。
说话人 1,00:33:42,上网过。
说话人 3,00:33:43,就是这些新手，因为其实每一个人都有机会，就是只要你持续在场，持续商战，但是你要先解决你的问题。新手每而是就是新手是一个阶段，然后你像我现在也是一个阶段，比如说新手是一个阶段，日入百刀是一个阶段，月入万刀是一个阶段，月日入千刀是一个阶段。然后等等等等一系列的，然后每一个阶段都有很大的问题，你这个问题。
说话人 1,00:34:07,很大很。
说话人 3,00:34:08,严重，严重到你当天阶段不解决这个问题，你就没办法推进到下一个阶段。所以说每一个阶段都有每一个问题，你要做好心理准备，然后而且这些问题你都会有一种恐慌感，就跟你下水冷，然后大家学会游泳的，知道谁骂我枪，
说话人 1,00:44:20,时候。
说话人 3,00:44:21,就是你上线一个网站，你不应该期望任何数据的，你不能够奢望的，对吧？你只是一个垃圾页面，怎么可能？但是如果有的话，那说明你剪得薄了，应该赶紧优化，不然别人。
说话人 1,00:44:32,很快就超你了。
说话人 3,00:44:33,然后面我还讲，哎哎一些优化SEO，就是你，你上多内多页面其实还不够，还有。
说话人 1,00:44:39,一个外链。
说话人 3,00:44:40,我，但是外链我没怎么发，因为外链它。
说话人 1,00:44:42,就是一个复杂东西，又讲了很多东西，我们就先不讲。
说话人 3,00:44:46,然后这里面。
说话人 1,00:44:47,就是。
说话人 3,00:44:48,在所有的人先新手先用 next 连接，新手先不用，我建议新手你上 30 个，就用 h t m h t。
说话人 1,00:44:57,m l。
说话人 3,00:44:57,你再去碰那个连接。是我建议你再去碰ASR，你用导航弹都能，因为我。
说话人 2,00:53:01,什么？我们这里只看步骤啊。这里面，而且我发现我大概看了下评论区，我发现就是。
说话人 1,00:53:11,怎么说呢。
说话人 2,00:53:13,大家的评论分两类，一类是小白问题的，是小白无脑问你这些问题你问 AI 都能解决的。然后还有一类就是用过AI，觉得很香，然后跟着手册做，觉得手册很清晰，然后做过很多战，而且这些昵称都很熟，都是群里经常。
说话人 1,00:53:32,见的。
说话人 2,00:53:33,都是低级问题，不细心。然后对，就是问题都分两类，我觉得这可能跟做日风口盘怎么样，所以说但是我简可能讲得很细吧。然后，嗯，这里面没有提的是你可能通过其他域名做汤，比如说阿里云，国内的，比如说那么solid，那么 cheap domain 等等，非常多。然后你大不了。
说话人 1,00:53:54,你就问客服。
说话人 2,00:53:55,你问客服，客服也有 AI 客服，然后你可以转人工客服，就是你买域名绑定，为什么要买域名呢？你买完域名才是你的域名，是数字资产，域名的成本维护不计吧。然后，嗯，网站托管，代码托管，那我们看这里面代码，这里我是用 cloud ChatGPT，当然很多人用。
说话人 1,00:54:18,bot 点new。还有什么。
说话人 2,00:54:23,其他的，他写的是agenda，包括 SIM 点、 DV 包括等等，包括 rap 点这些。那个连接是不建议新手，老手的话，我像重点攻破那个连接，那个连接词是非常有用的，磨刀不误砍柴工的一个很有用的领刀，重点攻破，然后最好学习就花个我觉得聪明点的可能一两个月，反正我一年半载还没搞明白。我觉得我们就得花一两年。
说话人 1,00:54:51,慢慢的磨明白，然后，嗯。
说话人 1,01:01:42,文件。
说话人 2,01:01:44,OK，然后在这里绑域名，然后还有人。
说话人 1,01:01:45,遇到是。
说话人 2,01:01:47,他这个页面没有绑，他点了他找不回来了，他找不到怎么绑域名了？这个页面是一次性的，你点完你点到其他你真的就找。
说话人 1,01:01:55,不回来了。
说话人 2,01:01:56,所以你要再点，就是设置，就是你回到pages，然后你点到这个项目，你刚部署的这个东西，你就点custom。
说话人 1,01:02:04,domain。
说话人 2,01:02:05,你做过，那也一样的，OK，就是你要这是第二次绑域名，第二次绑域名很简单，你不需要再去输什么其他的子域名，不需要跳页面，你只需要点就可以了。前提是这个域名在你网站上。
说话人 1,01:02:18,它是活跃的状态。咳死我了，看电视。
说话人 2,01:02:26,所有扣零零的，所有没上过网站的，认真听，你后面可以听回放探索的，你一定能上线一个网站的，就是你遇到的问题真的都是很简单，你不要觉得自己傻，只是问题傻每个人，唉，或者说犯傻，每个人都可能犯。其实我对这些问题我为什么反复强调？因为这些问题真的卡我，我不知道怎么上 page 的，我就是看一个很粗略的官方教程，我慢慢去上。而且我在这里讲一个坑，就是我之前放在 Versal 后面， Versal 流量爆了， Versal 要扣费，扣几十美金，然后我就要迁移配置。为什么配置 page 你。
说话人 1,01:02:59,流量再爆。
说话人 2,01:08:57,就是很多问题，其实你真的想要。
说话人 1,01:08:59,答案很复杂的。
说话人 2,01:09:00,我好多好多答疑回不过来了。 1 我一个问题，一句话，数据不靠谱，哎， CF 的。
说话人 1,01:09:09,是爬虫。
说话人 2,01:09:10,你可以稍微高兴一下。
说话人 1,01:09:12,虽然是假的。
说话人 2,01:09:14,我艰苦的环境，真的，我。
说话人 1,01:09:16,觉得。
说话人 2,01:09:18,我经常干活，干了一半带娃，一会娃拉了，还两个娃，不是这个娃臭死人了。上传html，因为你搞的是耐克点 GS 的，总让你上传其他的。你是新手，一看你说的是新手，既然你是新手，你就只记住只上传一个 index 点 h m 这句话就够了。后面你再慢慢的学， 10 个赞是要是的，十个赞就是你的数字资产，你不想要数字产你就别花钱，你用平台了，你给别人添庄架吧。我感觉都是做嫁衣。
说话人 1,01:09:45,怎么做好质量？
说话人 2,01:09:47,嗯，你要学很多东西，你问一下你把群里的你怎么做好智能，你把手册的都看一遍，你把直播都看一遍，然后，嗯，你去找一些对标，对标再去拆解一遍，挖掘需求，我们待会再讲，还有 7 分钟我再简单答疑一下，讲一下禁忌，OK，下一个。
说话人 2,01:15:56,一群没发，一群发。
说话人 1,01:15:57,其他人发一下吧，然后。
说话人 2,01:16:01,后面我再发一下，然后。
说话人 1,01:16:02,但是。
说话人 2,01:16:06,昨天报的网站，你看这是reason，这是。
说话人 1,01:16:09,24 小时的。
说话人 2,01:16:11,交行，不是，为啥低，是我交行我只刷。
说话人 1,01:16:13,"了 6, 000。"
说话人 2,01:16:15,这我不是套现，这是我。
说话人 1,01:16:16,真实的消费，我为什么花了这么多钱呢？
说话人 2,01:16:20,噢，我想起来了，我当时电商报了，我手里。
说话人 1,01:16:23,没有现金。
说话人 2,01:16:24,噢，我是我当时做杨梅电商来着，杨梅电商然后一个月花要花一二十万，我没有现金，我就刷信用卡，因为那个平台支持。
说话人 2,01:21:50,因为我都是。
说话人 1,01:21:50,躺那干活的。
说话人 2,01:21:51,都是躺着直播，然后 only one 的这个很重要，你就是这个很重要，重要的就是你默念，你去找需求，你去上战，你去想的时候你就默念这三个。我都是默念的，因为本身是做。
说话人 1,01:22:03,top one，你只有做到有万了，你才能赚到钱。
说话人 2,01:22:08,比较多的钱，比较少的钱其实你排在第二、第三也可以。但是他这个就是赚钱心法， the only。
说话人 1,01:22:15,one 现在还做不到。
说话人 2,01:22:17,你，你做。
说话人 1,01:22:17,创新了，然后这个就过一下，就是运气。
说话人 2,01:22:22,就是你保持在场，运气会砸到你头上。嗯，保持在场就需要持续折腾。
说话人 1,01:22:28,持续疲惫，持续上战。
说话人 2,01:22:31,订阅机支付很复杂，订阅机支付还有很多坑，支付账号可能会被封，然后你钱都没了。所以说小白。
说话人 1,01:22:38,先不要搞那些。
说话人 2,01:27:44,直接用爬虫爬完下来。
说话人 1,01:27:46,爬一下来。
说话人 2,01:27:48,怎么去筛选的呢？你就这么去看，你看这个趋势嘛？这不正当趋势嘛？这两个是。
说话人 1,01:27:53,增长的。
说话人 2,01:27:54,这两个还是两小时前的，这就虽然。
说话人 1,01:27:56,有点少。
说话人 2,01:27:58,current read 就感觉常用单词。
说话人 1,01:28:01,就是这个。
说话人 2,01:28:02,感觉这个太长了，但是太长了。申请 L3 的广告跟上线时间没有关系，跟你。
说话人 1,01:28:09,的流量有关系，如果能出成绩。
说话人 2,01:28:15,你的如果能出成绩，跟你的主要考验的 sense 不一样。你是新手，说实话新手。
说话人 1,01:28:21,出不了成绩。
说话人 2,01:28:24,就是新手出成绩本质是什么？是打比赛。
说话人 2,01:33:31,然后再看关键词，关键词找好，找好之后你就可以上赞了。关键词的话其实你会发你自己，我觉得这个东西怎么说呢？它算是常识，就是人名肯定做不了人名、地名，这都是老东西的，因为然后这些短的单词c、 l 肯定做不了短单词，你认识单词不认识单词，它短的可能这些太长了，其实也能做。 SU 没讲，我们讲的是找新词。
说话人 1,01:33:59,热词的，然后。
说话人 2,01:34:02,嗯，一般来说找两个词的两个词要看。
说话人 1,01:34:05,趋势。
说话人 2,01:34:06,你就看，就是你看趋势，它就是。
说话人 1,01:34:08,一直在长的。
说话人 2,01:34:10,这赤一般瞎看趋势，一直在长的，它又不是涨涨跌。
说话人 1,01:34:13,跌的。
说话人 2,01:34:14,而且关键词又没那么。
说话人 1,01:34:15,长。刚才这个我们看一下，刚才最后一个没了。哦，这里我们看一下这个视频。
说话人 1,01:34:33,就是其实你先去喝口水有点干了。这是个方法。
说话人 2,01:34:41,这个方法。
说话人 2,01:40:30,这个举例，我们就。
说话人 1,01:40:42,先不吃力嘛， red 弄一下。
说话人 2,01:40:48,不然很多都火了。其实这不就是国内的微信公众号了，蹭一。
说话人 1,01:40:52,蹭名字嘛。
说话人 2,01:40:53,只不过说国内管控一点，为什么大家都要出海？因为海外没有管控啊。人家不带，但是你蹭词也有风。这个。
说话人 1,01:41:00,叫称词。
说话人 2,01:41:01,这个还不叫新词，这叫新词的词里面的称词的话有个版权风险，跟国内微信公众号一样的，可能会下掉你，他商标版权会。
说话人 1,01:41:10,投诉你的。
说话人 2,01:41:11,也不一定，但是国内大厂的不要碰。然后我们。
说话人 1,01:41:14,看 red note。
说话人 2,01:41:15,然后我们看时间，看到 12 个月吧，你看是。
说话人 1,01:41:21,不是火了？
说话人 2,01:41:23,这一波儿。
说话人 2,01:47:57,怎么说呢？就是。
说话人 1,01:47:59,一封。
说话人 2,01:47:59,窝蜂的做，你肯定找不到好场地的，就这个意思，你去找一些其他的学校。
说话人 1,01:48:05,了，把那个关机和你一起。
说话人 2,01:48:13,真开心、真实在。李白。然后就是我建议每个人找自己的行业领域，你找自己的行业领域平台，这样大家错开防止。也不说恶性地方，就是你任何网站都可以做。
说话人 1,01:48:29,攻略。
说话人 2,01:48:30,其实游戏站不好做成游戏站的价值太低了。说实话爱的算是变现。
说话人 1,01:48:35,效率最差的。
说话人 2,01:48:38,然后其实任何网站都可以，但是就是换句话，你找到你自己领域的网站，去找这个平台，你找你自己领域的平台，然后没有人跟你抢，知道吗？所有人一玩手枪游戏你会出现一个问题，就是这个 red note，我查所有的玉米后缀全被种完了，你凑不到热乎的了。这个也算是对比，但是我一般都会多加几个，因为我会看这里是要点哈 past third days，你要看最近 30 天之后，我们核心一点就是它有一个 related queries，就是相关词，它这都是 break out，它很多 break out。
说话人 1,01:49:16,跟这个，诶，谷歌搜索呢？
说话人 2,01:49:20,好，刚才谷歌搜索关掉了，再打开。
说话人 2,01:56:26,inactive 这个就挂掉了嘛。同不是。
说话人 1,01:56:28,同一个人。
说话人 2,01:56:29,"好几个人，这低于 5, 000 倍，这个不准，这我感觉不准，这个他只有超这个，噢，对，这还有一个他数据更新不及时，他要下个月才能更新。好，第二个赶海网站我们举了一个例子，然后你怎么做网站呢？我们看看这。"
说话人 1,01:56:45,几个词儿吧？
说话人 2,01:56:50,然后叉掉，然后这个有个问题，这是我 i IP 质量不好，然后还有你看的太频繁了，它就屏蔽了，它就是something。
说话人 1,01:57:01,went wrong，他就。
说话人 2,01:57:05,屏蔽了，所以你要么再刷新一下，要么就是你没办法看得那么频繁，然后他这里面还有一些进阶操作，我估计讲。
说话人 1,01:57:13,不完了。
说话人 2,01:57:14,嗯，你们先手动挡，你们先上手动挡，后面再上自动挡，自动挡就是配合插件、配合脚本、配合其他玩的用AI。
说话人 1,01:57:23,给你写。这是一个。
说话人 2,01:57:27,这算是一个新词吧，我们现在自动的，哎，不是这点。net，这摆明就是别人的网站，没必要。
说话人 1,01:57:35,看了。
说话人 1,02:05:43,账号也有钱的。
说话人 2,02:05:44,你收款账号也有用，重新搞灰黑的，搞其他玩玩呃。大家那个问词儿什么？反正类比那个词儿叫啥来。
说话人 1,02:05:53,着？忘记了。
说话人 2,02:05:54,你可以去 YouTube 看Trends，你可以去TikTok。
说话人 1,02:05:59,看。
说话人 2,02:05:59,Trends 看 tag TikTok time 诶，打错了，还不是time。
说话人 1,02:06:12,是change。
说话人 2,02:06:18,一通百通。什么？看搜索哪才能打开？什么意思？对啊，都没了。收款账号哪个存在strap？拍到你自己搜，你把这个问题在谷歌里面。
说话人 1,02:06:31,去搜。
说话人 2,02:06:32,你又有答案了。就是大家想赚钱要提高自己的效率，不要问那些没有意义的问题、伪问题，一个好问题是很有价值，一个好问题就代表了。
说话人 1,02:06:42,一个好答案。
说话人 2,02:06:44,就有很多价值。你问了啥问题？就是你能问 AI 解决，能问搜索解决，你就会省下你很多问题，这样就能够省下很多时间，就是金钱，这样就能够帮你少走很多弯路。你去看 TikTok 寸走，这我就不催，这我就不讲了，这是第三个赶海
说话人 1,02:13:53,就是。
说话人 2,02:13:55,真需求，能赚到钱才是真需求。然后网站有价值就能赚到钱，这个网站才有价值。孤无村子找新词大部分是无效。
说话人 1,02:14:05,词汇。
说话人 2,02:14:05,然后有一点方法可循，你要就是仅以为仅可能多的词根就是平台，词根一方面是平台，还有一方面，比如说各位写过那个 AI 的词根，其实很多的平台，然后你打开速度太快了会被屏蔽，你要多看多调研，就说白了你是个小白，你啥也不懂，你怎么干这段冠军呢？要像冠军一样学习，你要成为冠军，你就要像冠军一样学习，一样训练，一样上战，一样上你今年在座的 429 人观看了，我相信今年一定有人从零做到月入万到的在座的各位。因为我就是去年。
说话人 1,02:14:46,的一员。
说话人 2,02:14:47,去年我也参加航海了，我。
说话人 1,02:14:49,也参加了。
说话人 2,02:14:51,去直播攻击战，搞不成我相当于自己发明了一种方法，我自己找了一些新词，然后找了一个游戏站，然后开启了本次游戏站的航海，然后一大波人都在做优惠产呃。关于 ATV 跟 Web 的，说实话我待会给你看，我找个文章，我待会可能要多讲一些东西，但是我先把 PPT 讲完，一会再给你分析一下，我觉得 APP 的难度很高。说实话，但是各有优劣，我给你深度分析一下，然后还有。
说话人 1,02:15:20,一个这个我发群里。我擦，我发代码，oh。
说话人 2,02:15:34,theres an AI for that 这也是一个导航站。 to lify 是一个导航站，这也是个就是导航站你都能看得到需求，这个 request page two 就是这个，你看 shut up，别看这个导航带。哎，怎么说呢？就是我现在讲个方法，大家不要预期，你看个三五天就能出结果。我 PPT 这么乱七八糟的，你还要发PPT，你发 PPT 也没有用，我这个 PPT 它是截图，
说话人 2,02:24:05,没那么不切实际的，就是对日入十刀，日入百刀上 100 个赞是你的执行目标，日入百刀是你的收益目标。还是找刘小白，刘小白的文章。
说话人 1,02:24:15,非常有用，非常有。
说话人 2,02:24:17,价值，刘小白讲的就是那个这里，我对它每一个文章都。
说话人 1,02:24:26,如数家珍。然后。
说话人 2,02:24:33,这里翻石头很枯燥的，怎么翻石头？OK，我跟你说，我们怎么就这些东西？刘耀拍的文章，大家认认真真的看，多看，看个百遍不。
说话人 1,02:24:42,夸张的。
说话人 2,02:24:43,我一会儿跟你说我怎么看的？我都去年才看了，我今年要再看一遍，太有价值了。然后就是这个问题，产品解决什么问题？然后你去看图里拍的文章，其实我这个时候我遇到最大问题，我不知道怎么看它，这产品是啥呀？我去年看我都不知道是啥，我今年我找到。
说话人 1,02:25:00,方法了，这么看。
说话人 2,02:25:04,截图粘贴，问 AI 说的解决什么问题？OK，等等等，我看一遍，我要做的很多，他在总共有 500 个网站， 500 家网站我要做，算了一下，我一个文章弄 5 个网站，嗯，我在写 100 个文章，看完之后，然后刘小排后面又一句话说你要对到如数家珍，那我要开始对这些文章网站归类，你肯定不可能看一遍的。什么东西看过几篇都忘了，所以就跟刘小白的文章一样，这篇文章这个东西我都看了。
说话人 1,02:25:37,100 遍了。
说话人 1,02:31:29,执行目标。
说话人 2,02:31:30,500 单，有点夸张了，300。
说话人 1,02:31:31,个赞吧。
说话人 2,02:31:32,300 个赞，我觉得有点夸张了。一个APP，那。
说话人 1,02:31:35,APP。
说话人 2,02:31:37,接近言，我发几个，发了几个群了，拍一拍，达成目标1234。你们大家先大合成第一部日入百刀，没有一个也不要夸张，我觉得日入百刀吧。日入百刀，日入百刀，咱们使咱们接地气一点，不要，因为我之前朋友都说我很浮夸的，咱们。不要那么活泼，咱们接地气一点，大家要想发文字都一入百道哈。日入百道，好，我撤了，直播撤，然后有问题发群里，我看到我都会回，然后你们要私信的话随时可以给我发消息，但是我一般语音回，我们经常带娃撤430。
说话人 1,02:32:16,拜拜。
说话人 2,02:32:19,我要锻炼一下。讲了拜拜怎结束了哈？结束了。对，日入百刀，实在一点，群里可以发个日入百刀哈。 400 号人大家都可以群里发日入百刀。作为 2025 年每一个人最基础的目标是可以达到的。你上 100 个赞可能比较难，你上。
说话人 1,02:32:40,30 个赞，对。
说话人 2,02:32:45,拜 2025 日入百刀，大家可以打群里，大家在每个人目标，然后 100 个赞也行， 30 个赞也行。
说话人 1,02:32:51,看自己，加油加油。OK。
